State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,sex_ratio,literacy_rate
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1397,23236,91,41
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,5319,113281,92,48
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,2653,90461,87,58
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,10290,180651,89,52
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,4156,101378,92,52
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1841,31162,93,49
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,3495,57546,90,44
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,40692,546859,89,59
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,7719,74979,90,44
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,4170,86058,92,40
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,4594,114893,91,60
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,1668,41342,90,42
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,5379,88021,91,50
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,4509,94787,95,54
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,631,20065,92,51
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,478,10004,89,43
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,3460,66263,89,41
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,3834,52935,98,57
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1845,51028,92,46
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,4810,70001,89,55
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,44283,231204,81,76
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,1782,157646,102,46
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,1574,79146,98,75
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,8566,519704,97,59
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,1016,148926,101,68
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,16141,614109,98,68
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,567,76783,100,58
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,4544,202380,96,62
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,1667,80023,96,60
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,961,212487,101,61
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,3342,297308,99,63
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,38570,547206,95,73
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,20261,728556,98,64
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,2737,253131,97,50
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,1316,49249,53,78
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,6628,498326,95,67
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,23440,173951,96,81
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,17624,138810,98,78
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,126341,1456046,90,75
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,2538,273331,96,65
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,9902,378310,92,74
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,3424,396873,93,54
