State,District,Latitude,Longitude,District Code,Population,Male,Female,Literate,Male Literate,Female Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others Religions,Religion Not Stated,Households,Below Primary Education,Primary Education,Middle Education,Secondary Education,Higher Education,Graduate Education,Other Education,Literate Education,Illiterate Education,Total Education,Age Group 0 29,Age Group 30 49,Age Group 50,Age Not Stated,Total Power Parity,Sex Ratio,Literacy Rate
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,45318,46758,36606,20258,16348,4859,471,51189,43,121,81,34158,1154,19695,12661,15054,12264,6997,4353,2031,299,53659,42621,96280,64379,20713,6836,148,348,103,39
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,83062,48380,34682,99020,3846,10684,210,24452,104,7277,133,44971,19306,25179,20643,13070,7612,5180,584,91574,52421,143995,94890,35493,15195,148,348,91,56
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,31849,18087,13762,28915,2247,9213,33,2932,19,10393,328,15950,5875,7957,7351,5508,3570,2795,85,33141,14406,47547,35140,13254,5652,34,348,92,58
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,54057,29470,24587,9551,1482,34402,27,193,13,37085,277,23477,8492,10821,11661,9861,7674,5230,295,54034,17273,71307,55258,20305,7412,55,348,98,65
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,121048,65794,55254,57027,6148,84397,310,4768,139,22586,1198,50488,15368,21956,21376,20007,17342,13840,926,110815,30360,141175,120592,43812,11856,313,644,97,68
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,29151,20826,26073,17720,8353,11842,787,776,1164,34920,72,349,67,13182,4904,4730,4029,2140,1989,1379,667,19838,19203,39041,30709,13849,5399,20,348,71,52
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,57604,54371,47974,29313,18661,20682,1103,83361,61,778,43,5325,622,24920,13585,16989,12077,7834,4305,2134,182,57106,50628,107734,71785,25669,14423,98,348,94,42
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,18699,16621,18195,10723,7472,5261,411,5643,27,2577,7,20967,427,10751,3952,5584,4915,2935,2211,1349,46,20992,11209,32201,21090,8910,5252,68,348,88,51
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,41758,41690,45278,24807,20471,13474,521,8779,28,297,11,59449,889,19214,10219,16118,15339,10348,8017,4276,473,64790,28364,93154,56054,20055,7230,109,348,99,54
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,48492,29566,18926,31265,1970,8466,328,36087,71,5556,204,24195,8836,10317,8428,5633,3987,2693,299,40193,25606,65799,53026,22362,8493,66,348,81,57
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,64746,36777,27969,15881,2218,29969,577,3311,49,60005,264,30775,14227,17675,15908,11441,8418,6030,521,74220,27956,102176,70415,28305,13469,85,348,93,57
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,897058,499038,398020,492966,1198036,1020,112,49,399,14,1026,499381,210607,307884,300845,121924,87377,46947,8007,1083591,664161,1747752,1072312,405046,215355,909,348,95,52
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,434078,237114,196964,359145,371033,5924,384,236,871,9,1202,220393,93591,138294,133643,55924,35491,20221,2267,479431,260721,740152,458796,184849,94939,220,348,96,58
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,1174128,639946,534182,1038985,654816,37635,280,341,1673,98,2789,435160,256855,447993,379469,156156,79766,45341,12951,1378531,357907,1736438,1048990,444899,241776,952,348,95,67
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,487039,268666,218373,327322,597392,1688,431,57,724,19,867,288706,119027,163277,161153,59039,47398,22267,3079,575240,375556,950796,583436,226525,118102,437,348,95,52
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,423028,237761,185267,655052,13475,8711,297,911,167,6315,1205,228262,79107,138838,136371,80804,55399,28006,2868,521393,194984,716377,434221,169630,82051,231,348,95,61
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,884531,491361,393170,1198401,64526,52968,2261,4673,1055,46,2405,377015,143189,243607,301287,139813,89500,59380,6984,983760,340744,1324504,767147,371864,186774,550,348,96,66
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,513292,494891,563577,304302,259275,347878,579929,77862,771,194,477,103,969,268114,124700,213510,183904,73683,39885,18294,3464,657440,375071,1032511,650509,239831,117427,416,348,96,55
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,543161,523727,721764,396475,325289,917426,90312,50582,1131,3863,530,1347,1697,327083,117393,223902,261192,111145,66197,36887,4084,820800,258897,1079697,629153,289085,148244,406,348,96,67
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,337890,321406,407366,226836,180530,251194,397653,8480,84,490,247,636,512,175417,88596,177984,139029,50056,28504,11608,4265,500042,173306,673348,419921,156243,82841,291,348,95,61
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,556805,535451,794929,432335,362594,1008219,54684,21051,1540,2378,719,578,3087,367154,99454,201680,295444,128050,97025,62608,8433,892694,209170,1101864,604908,315550,171062,736,348,96,72
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,778461,739081,995319,550219,445100,877495,601784,33297,319,185,1330,55,3077,434445,163849,290097,353861,154831,118849,55011,6444,1142942,392678,1535620,895775,408232,212740,795,348,94,65
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,490167,466146,557214,314253,242961,766000,20290,157789,370,6260,397,3568,1639,252876,109324,212224,199289,93137,40602,18225,3426,676227,310093,986320,618633,233739,103123,818,348,95,58
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,625864,602822,795297,435942,359355,521962,692489,11990,114,446,524,110,1051,294640,198059,333885,257931,76685,39637,21408,7903,935508,303785,1239293,779850,284368,163990,478,348,96,64
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,452905,434237,489305,275220,214085,529068,252271,101091,93,1718,396,123,2382,222011,116899,166013,154715,78788,39571,17287,2733,576006,340601,916607,552671,224715,108956,800,348,95,55
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,529674,512463,683486,375552,307934,797130,193476,46217,412,1074,250,2410,1168,327933,126950,212080,217497,107326,82885,44212,4731,795681,275677,1071358,639385,268872,133615,265,348,96,65
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1439112,1384656,1710716,921850,788866,1225246,1563203,26844,3036,1073,1162,61,3143,799185,392616,638088,576214,199792,115864,66994,10351,1999919,873197,2873116,1778277,678034,366112,1345,348,96,60
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,396006,375633,531771,293184,238587,491582,277488,429,62,27,1004,9,1038,238944,75866,141690,192771,81507,71734,39368,3693,606629,188960,795589,442061,211320,117809,449,348,94,68
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,983904,940206,1108572,620525,488047,1422824,350536,138166,1363,5088,1003,221,4909,547853,216097,416218,377653,141373,90385,49901,6412,1298039,627141,1925180,1159991,501239,261648,1232,348,95,57
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,680231,647698,798322,453449,344873,1181347,48373,76877,1999,16228,837,395,1873,381614,150893,266717,276292,109805,61040,38152,7353,910252,417081,1327333,799874,352158,175377,520,348,95,60
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,1463333,1348236,1195768,727643,468125,1593525,1207442,4116,371,187,1910,63,3955,703274,625357,426625,206161,112955,68177,39627,6938,1485840,1653766,3139606,1872943,612012,324091,2523,2035,92,42
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,1318684,1221389,1466002,868733,597269,2291133,237353,2218,295,334,775,19,7946,477297,559512,482199,302662,253142,136783,91371,8329,1833998,784131,2618129,1626969,564571,340948,7585,2215,92,57
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,1924469,1776813,2503837,1430936,1072901,2545438,786677,15991,5142,309093,30981,1005,6955,979132,381695,686271,422964,537936,310762,253253,19101,2611982,819734,3431716,2211996,909771,571932,7583,8119,92,67
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1067140,967623,965321,590961,374360,1772655,250925,6138,139,113,94,1035,3664,444096,408188,386707,196305,120653,63103,35767,3922,1214645,879831,2094476,1291235,462080,278863,2585,1738,90,47
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,1567660,1402881,1548673,918507,630166,2554330,407348,2209,402,229,276,57,5690,733625,577601,484502,291877,207136,144783,101836,14599,1822334,1242551,3064885,1951688,644874,369996,3983,2354,89,52
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,1615663,1422103,1573066,937669,635397,2487866,537098,3556,415,180,1050,32,7569,653161,614644,524322,300767,247079,154643,118843,16119,1976417,1139715,3116132,1952879,674660,397654,12573,2814,88,51
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,1430380,1298027,1599151,973486,625665,2518216,197819,2165,544,647,1472,48,7496,511927,581580,605307,367059,313509,163303,131137,10630,2172525,1005140,3177665,1722387,613072,387389,5559,2600,90,58
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,887977,818375,989807,593544,396263,1591454,105423,2125,248,5090,97,57,1858,334657,331675,420187,256124,178044,89306,64117,5224,1344677,457814,1802491,1074754,375372,253998,2228,1556,92,58
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,2059949,1877436,1816634,1125566,691068,3042729,881476,3534,832,245,236,101,8232,1002713,672797,490534,332382,224622,152540,129597,26073,2028545,2203198,4231743,2535344,865971,529314,6756,3514,91,46
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,2266566,2124852,2297613,1368803,928810,3876395,488121,3943,913,870,1723,108,19345,807571,902272,757690,447480,342254,191824,131163,12047,2784730,1953368,4738098,2810026,936630,537333,107429,3998,93,52
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,1267666,1294346,1382998,793905,589093,2119262,436057,2463,271,167,133,28,3631,554058,540603,470828,291624,223776,123249,79109,7690,1736879,977719,2714598,1642807,546202,370662,2341,2370,102,53
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,916064,844341,858588,534385,324203,1525746,217621,8443,162,159,87,3438,4749,356760,420472,317612,153973,104211,56137,29633,3439,1085477,765297,1850774,1135919,392052,227016,5418,1516,92,48
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,585582,539731,618881,374412,244469,1045117,75742,691,148,248,60,58,3249,214792,211761,165906,117558,112966,68748,45519,3539,725997,495877,1221874,714244,254582,155106,1381,960,92,54
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,1600430,1470599,1280190,762256,517934,1684589,1365645,8659,2754,212,507,2141,6522,738070,472616,444260,237243,133811,88498,57114,11896,1445438,1705551,3150989,2054202,660403,353483,2941,2516,91,41
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,883786,783100,768028,461153,306875,1486989,175588,1253,143,79,86,115,2633,394703,350601,233494,130004,100555,65931,38697,5969,925251,903323,1828574,1114645,355531,195796,914,1254,88,46
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,866970,823430,745056,439921,305135,531236,1149095,5783,398,183,1476,28,2201,445150,356401,235779,89025,42778,25989,15386,3761,769119,945397,1714516,1139615,361114,188447,1224,1347,94,44
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,526345,474567,507270,305182,202088,956396,40886,487,140,52,78,52,2821,207645,172076,149312,111684,85807,48001,27261,3814,597955,450967,1048922,650642,218840,130655,775,904,90,50
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1047559,954203,834577,517666,316911,1753829,241760,1342,170,60,133,81,4387,510278,340813,189431,114474,99437,79891,44955,6509,875510,1202278,2077788,1311771,444235,242382,3374,1494,91,41
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,2329313,2158066,2155338,1340085,815253,3652168,818912,3262,564,328,442,169,11534,1088786,783888,771417,520875,303114,170563,137780,11352,2698989,2003079,4702068,2860455,1009424,611899,5601,3520,92,48
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,729041,638724,801817,473741,328076,1252319,110416,1815,338,95,145,61,2576,308063,226699,158699,146414,147152,101907,64469,4394,849734,498676,1348410,860147,316713,188319,2586,1424,87,58
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,2527497,2273565,2509232,1487117,1022115,4032773,745546,5149,933,288,382,98,15893,1119394,1092952,743623,419433,299475,194920,138916,14475,2903794,1924438,4828232,3016735,1079189,697108,8030,4105,89,52
